,사업장명,카페이름,,,,,,,,
1439,침산3동 도너츠윤 대구직영점,도너츠윤 대구직영점,,,,,,,,
1440,침산2동 티앤오,티앤오 T.N.O COFFEE,,,,,,,,
1441,침산1동 설래당,설래당,,,,,,,,
1442,산격1동 소응접실,소응접실,,,,,,,,
1443,침산1동 레스트온선데이,레스트온 선데이,,,,,,,,
1444,신암2동 카페봄봄 대현점,카페봄봄 대현점,,,,,,,,
1445,신암2동 이디야커피 대구신암로점,이디야커피 대구신암로점,,,,,,,,
1446,신암2동 머머커피,머머커피,,,,,,,,
1447,칠성동 카페엘림,카페엘림,,,,,,,,
1448,무태조야동 요거프레소 대구연경점,요거프레소 대구연경점,,,,,,,,
1449,무태조야동 더리터 연경지구점,더리터 연경지구점,,,,,,,,
1450,무태조야동 카페봄봄 연경점,카페봄봄 연경점,,,,,,,,
1451,무태조야동 탑리터 연경점,탑리터 연경점,,,,,,,,
1452,무태조야동 위트커피 연경점,위트커피 연경점,,,,,,,,
1453,무태조야동 수에르떼,수에르떼,,,,,,,,
1454,무태조야동 하삼동커피 연경중앙점,하삼동커피 연경중앙점,,,,,,,,
1455,무태조야동 만랩커피 연경지구점,만랩커피 연경지구점,,,,,,,,
1456,산격4동 로이노엘,로이노엘,,,,,,,,
1457,산격1동 마이온룸,마이온룸,,,,,,,,
1458,산격1동 언더더트리,언더더트리,,,,,,,,
1459,산격1동 시청별관북카페,시청별관 북카페,,,,,,,,
1460,침산2동 커피아나,쌍도커피 경북대점,,,,,,,,
1461,태전1동 공차 대구보건대점,공차 대구보건대점,,,,,,,,
1462,태전1동 몬스터커피 보건대점,몬스터커피 보건대점,,,,,,,,
1463,태전1동 베스트프레즐 대구칠곡직영점,베스트프레즐 칠곡직영점,,,,,,,,
1464,침산1동 투썸플레이스 대구원대오거리점,투썸플레이스 대구원대오거리점,,,,,,,,
1465,고성동 피쉬마운트커피 침산점,피쉬마운트커피_침산점,,,,,,,,
1466,고성동 로비아네,로비아네,,,,,,,,
1467,침산1동 카페나우,카페나우 북구청점,,,,,,,,
1468,칠성동 청솔로9 침산점,청솔로9 침산점,,,,,,,,
1469,침산1동 카페봄봄 북구청점,카페봄봄 북구청점,,,,,,,,
1470,고성동 파스쿠찌 대구침산점,파스쿠찌 침산점,,,,,,,,
1471,칠성동 레프트뱅크 화인탑점,레프트뱅크 침산화인탑점,,,,,,,,
1472,침산3동 올리브나무카페,올리브나무카페,,,,,,,,
1473,침산3동 엔제리너스 대구침산점,엔제리너스 대구침산점,,,,,,,,
1474,고성동 설빙 대구침산점,설빙 대구침산점,,,,,,,,
1475,침산1동 투썸플레이스 대구침산점,투썸플레이스 대구침산점,,,,,,,,
1476,침산1동 마시그래이 침산점,마시그래이 침산점,,,,,,,,
1477,노원동 크럼키,크럼키,,,,,,,,
1478,침산1동 테리커피로스터스,테리커피로스터스,,,,,,,,
1479,노원동 헬로우,헬로우,,,,,,,,
1480,침산1동 제이커피 침산점,제이커피 침산점,,,,,,,,
1481,침산1동 투썸플레이스 대구고성3가점,투썸플레이스 대구고성3가점,,,,,,,,
1482,침산1동 코헨커피,코헨커피,,,,,,,,
1483,고성동 감프커피,감프커피,,,,,,,,
1484,원대동 발루토커피,발루토 커피,,,,,,,,
1485,산격2동 올리브카페,올리브카페,,,,,,,,
1486,산격2동 위트커피,위트커피 유통단지점,,,,,,,,
1487,산격1동 이디야커피 대구텍스빌점,이디야커피 대구텍스빌점,,,,,,,,
1488,산격2동 카페인(IN),카페인,,,,,,,,
1489,검단동 투썸플레이스 대구엑스코점,투썸플레이스 대구엑스코점,,,,,,,,
1490,국우동 카페히스토리스탠드,카페히스토리스탠드,,,,,,,,
1491,침산2동 메가MGC커피 대구칠성동점,메가MGC커피 칠성동점,,,,,,,,
1492,칠성동 빽다방 대구칠성하늘채점,빽다방 대구칠성하늘채점,,,,,,,,
1493,침산2동 워크업커피,워크업 커피,,,,,,,,
1494,침산2동 플레브,플레브스트릿,,,,,,,,
1495,칠성동 하이다과점,하이다과점,,,,,,,,
1496,침산2동 더드림커피 대구침산1호점,더드림커피 대구침산1호점,,,,,,,,
1497,관문동 아이아이아이커피,아이아이아이 커피,,,,,,,,
1498,관문동 파스쿠찌 대구칠곡태전DT점,파스쿠찌 대구칠곡태전DT점,,,,,,,,
1499,태전2동 마이우디,마이우디,,,,,,,,
1500,태전1동 아마스빈 대구보건대점,아마스빈 대구보건대점,,,,,,,,
1501,태전1동 카페봄봄 보건대점,카페봄봄 보건대점,,,,,,,,
1502,태전2동 레프트뱅크,레프트뱅크 칠곡태전점,,,,,,,,
1503,태전2동 조이커피,조이커피,,,,,,,,
1504,읍내동 할로커피,할로커피,,,,,,,,
1505,읍내동 카페별자리,카페별자리,,,,,,,,
1506,관음동 카페봄봄 칠곡 읍내점,봄봄 칠곡읍내점,,,,,,,,
1507,관음동 요거트아이스크림의정석 대구칠곡점,요거트아이스크림의정석 대구칠곡점,,,,,,,,
1508,관음동 춘이네커피살롱,춘이네 커피살롱,,,,,,,,
1509,읍내동 레나,레나커피,,,,,,,,
1510,관음동 그라노데커피,그라노데커피,,,,,,,,
1511,관음동 빽다방 대구칠곡점,빽다방 대구칠곡점,,,,,,,,
1512,관음동 요거트월드 대구칠곡점,요거트월드 대구칠곡점,,,,,,,,
1513,관음동 히어앤나우,히어앤나우,,,,,,,,
1514,읍내동 달리는커피 대구읍내점,달리는커피 대구읍내점,,,,,,,,
1515,관음동 카페봄봄 강북프라임점,카페봄봄 강북프라임점,,,,,,,,
1516,관음동 탐앤탐스 대구강북마루점,탐앤탐스 강북마루점,,,,,,,,
1517,읍내동 카페씨씨,카페씨씨,,,,,,,,
1518,읍내동 카페트아르,카페 트아르,,,,,,,,
1519,태전2동 커피프렌즈(COFFEEFRIENDS),커피프렌즈,,,,,,,,
1520,관문동 청춘다방,청춘다방,,,,,,,,
1521,관문동 바루베이크샵,바루베이크샵,,,,,,,,
1522,태전2동 카페얼바인,카페 얼바인2016,,,,,,,,
1523,태전1동 데이세븐,데이세븐,,,,,,,,
1524,태전1동 모비딕,모비딕,,,,,,,,
1525,태전1동 메르시일공사,메르시일공사,,,,,,,,
1526,태전1동 메가MGC커피 대구보건대점,메가MGC커피 대구보건대점,,,,,,,,
1527,태전1동 카페코지(cafe kosie),카페코지,,,,,,,,
1528,태전1동 천씨씨커피 대구보건대점,천씨씨 대구보건대점,,,,,,,,
1529,태전1동 푸키쿠키,푸키쿠키,,,,,,,,
1530,태전1동 르샤흠,르샤흠,,,,,,,,
1531,태전1동 헬로파이,헬로파이,,,,,,,,
1532,태전1동 크로플덕오리아가씨 칠곡점,크로플덕오리아가씨 칠곡점,,,,,,,,
1533,관음동 소지숍,소지숍,,,,,,,,
1534,칠성동 반달커피 대구칠성침산점,반달커피 대구칠성침산점,,,,,,,,
1535,칠성동 바로닐,바로닐,,,,,,,,
1536,칠성동 루아커피,루아커피,,,,,,,,
1537,칠성동 마시그래이 칠성시장점,마시그래이 칠성시장점,,,,,,,,
1538,칠성동 레스트커피룸,레스트커피룸,,,,,,,,
1539,고성동 더하당,더하당,,,,,,,,
1540,칠성동 도와커피,도와커피,,,,,,,,
1541,칠성동 커피콩블랙빈,커피콩블랙빈,,,,,,,,
1542,칠성동 북두칠성,북두칠성,,,,,,,,
1543,원대동 세컨바닐라,세컨바닐라,,,,,,,,
1544,침산1동 별들의다방 대구침산점,별들의다방 대구침산점,,,,,,,,
1545,침산3동 할리스 대구침산네거리점,할리스 대구침산네거리점,,,,,,,,
1546,침산3동 하삼동커피 대구침산점,하삼동커피 침산점,,,,,,,,
1547,침산2동 월드 베스트베스틴커피,월드베스트베스틴커피,,,,,,,,
1548,침산1동 더리터 대구침산점,더리터 침산점,,,,,,,,
1549,침산2동 카페애하,애하,,,,,,,,
1550,원대동 신신카페,신신카페,,,,,,,,
1551,침산2동 더벤티 침산오페라점,더벤티 침산오페라점,,,,,,,,
1552,침산3동 매스커피 침산네거리점,매스커피 침산네거리점,,,,,,,,
1553,침산3동 아마스빈 대구침산점,아마스빈 대구 침산점,,,,,,,,
1554,침산2동 더벤티 대구침산점,더벤티 대구침산점,,,,,,,,
1555,침산3동 레프트뱅크,레프트뱅크,,,,,,,,
1556,침산2동 카페봄봄 침산점,카페봄봄 침산점,,,,,,,,
1557,침산2동 컴포즈커피 대구침산점,컴포즈커피 대구침산점,,,,,,,,
1558,침산1동 디저트39 대구 침산점,디저트39 대구침산점,,,,,,,,
1559,산격1동 엔제리너스 대구침산로점,엔제리너스 대구침산로점,,,,,,,,
1560,침산2동 핏어펫,핏어펫,,,,,,,,
1561,침산3동 빽다방 대구침산점,빽다방 침산점,,,,,,,,
1562,침산2동 커피볶는다락방,커피볶는다락방,,,,,,,,
1563,침산3동 하이오커피 대구침산점,하이오커피 침산점,,,,,,,,
1564,산격1동 수야커피,수야커피,,,,,,,,
1565,침산1동 핸즈커피 성북교점,핸즈커피 성북교점,,,,,,,,
1566,고성동 이디야커피 대구시민운동장점,이디야커피 대구시민운동장점,,,,,,,,
1567,칠성동 팔공티 이마트칠성점,팔공티 이마트칠성점,,,,,,,,
1568,침산3동 요거프레소 침산푸르지오점,요거프레소 침산푸르지오점,,,,,,,,
1569,침산1동 텐퍼센트커피 대구침산점,텐퍼센트커피 대구침산점,,,,,,,,
1570,칠성동 매스커피 침산점,매스커피 침산점,,,,,,,,
1571,고성동 코르코르커피,코르코르커피 침산점,,,,,,,,
1572,침산1동 플랜 침산점,플랜 침산점,,,,,,,,
1573,태전2동 베이스먼트,베이스먼트,,,,,,,,
1574,태전2동 사이섬,사이섬커피바,,,,,,,,
1575,구암동 달브로,달브로 칠곡점,,,,,,,,
1576,태전2동 토카커피,토카커피,,,,,,,,
1577,구암동 오아,오아,,,,,,,,
1578,태전2동 스프링캔 대구태전점,스프링캔 대구태전점,,,,,,,,
1579,태전2동 커피플러스,커피플러스,,,,,,,,
1580,태전2동 혜민커피,혜민카페,,,,,,,,
1581,태전2동 더하다커피,더하다커피,,,,,,,,
1582,태전1동 체리픽,체리픽,,,,,,,,
1583,태전2동 더드림커피 대구태전2호점,더드림커피 대구태전2호점,,,,,,,,
1584,칠성동 폴바셋 롯데백화점대구점,폴바셋 롯데백화점 대구점,,,,,,,,
1585,칠성동 제주 제이제이씨 커피 롯데대구점,제주제이제이씨커피 롯데대구점,,,,,,,,
1586,동천동 티타임커피 동천점,티타임커피 아이스크림스토리 동천점,,,,,,,,
1587,동천동 읍천리382 대구칠곡점,읍천리382 칠곡점,,,,,,,,
1588,관음동 몬스터커피 팔거역점,몬스터커피 팔거역점,,,,,,,,
1589,동천동 빈스크라운커피,빈스크라운커피,,,,,,,,
1590,관음동 빽다방 대구칠곡팔거역점,빽다방 대구칠곡팔거역점,,,,,,,,
1591,구암동 힉스 구암점,힉스 구암점,,,,,,,,
1592,동천동 카페마루,카페마루,,,,,,,,
1593,동천동 몰타 칠곡점,몰타 칠곡점,,,,,,,,
1594,관음동 커피바스켓,커피바스켓,,,,,,,,
1595,동천동 꽃을담다,꽃을담다,,,,,,,,
1596,동천동 미엘,미엘,,,,,,,,
1597,구암동 꼬모맨션 칠곡점,꼬모맨션 칠곡점,,,,,,,,
1598,관음동 카페발견자,카페 발견자,,,,,,,,
1599,관음동 읍내다방,읍내다방,,,,,,,,
1600,읍내동 라라빈,라라빈,,,,,,,,
1601,원대동 구공카페 팔달점,구공카페 팔달점,,,,,,,,
1602,원대동 메가MGC커피 대구팔달시장역점,메가MGC커피 대구팔달시장역점,,,,,,,,
1603,비산5동 케이클래스커피 노원점,케이클래스커피 노원점,,,,,,,,
1604,노원동 카페여기,카페여기,,,,,,,,
1605,노원동 감성커피 대구노원점,감성커피 노원점,,,,,,,,
1606,비산1동 핸즈커피 팔달시장점,핸즈커피 팔달시장점,,,,,,,,
1607,비산1동 이디야커피 대구팔달시장점,이디야커피 커피 팔달시장점,,,,,,,,
1608,비산5동 빽다방 대구팔달노원점,빽다방 대구팔달노원점,,,,,,,,
1609,국우동 린네베이크,린네 베이크,,,,,,,,
1610,국우동 그림책방여우네,그림책방 여우네,,,,,,,,
1611,국우동 카페 벤치타임,카페 벤치타임,,,,,,,,
1612,국우동 카페마실,카페마실,,,,,,,,
1613,국우동 컴포즈커피 대구학정점,컴포즈커피 대구학정점,,,,,,,,
1614,국우동 카페스로인,카페스로인,,,,,,,,
1615,관문동 공차 대구매천점,공차 대구매천점,,,,,,,,
1616,관문동 마시그래이 매천점,마시그래이 매천점,,,,,,,,
1617,동천동 매스커피 칠곡3지구점,매스커피 칠곡3지구점,,,,,,,,
1618,동천동 더벤티 대구칠곡점,더벤티 대구칠곡점,,,,,,,,
1619,동천동 컴포즈커피 대구동천점,컴포즈커피 대구동천점,,,,,,,,
1620,동천동 카페봄봄 칠곡점,카페봄봄칠곡점,,,,,,,,
1621,동천동 텐퍼센트커피 대구칠곡3지구점,텐퍼센트커피 대구칠곡3지구점,,,,,,,,
1622,동천동 공차 대구칠곡점,공차 대구칠곡점,,,,,,,,
1623,동천동 빽다방 대구칠곡타운점,빽다방 대구칠곡타운점,,,,,,,,
1624,관문동 커피파리스,커피파리스,,,,,,,,
1625,국우동 탑리터 칠곡점,탑리터 칠곡점,,,,,,,,
1626,국우동 드롭탑 대구병원점,드롭탑 대구병원점,,,,,,,,
1627,국우동 빽다방 대구칠곡학정점,빽다방 대구칠곡학정점,,,,,,,,
1628,국우동 북촌더플레이트,북촌더플레이트,,,,,,,,
1629,국우동 몬드,몬드,,,,,,,,
1630,국우동 올제커피,올제커피,,,,,,,,
1631,구암동 카페모리,카페모리,,,,,,,,
1632,관문동 마시그래이 금호점,마시그래이 금호점,,,,,,,,
1633,관문동 리코쿠키,리코쿠키 본점,,,,,,,,
1634,관문동 파스구찌 대구금호점,파스쿠찌 대구금호점,,,,,,,,
1635,무태조야동 카페에녹,카페에녹,,,,,,,,
1636,무태조야동 카페봄봄 동서변점,카페봄봄 동서변점,,,,,,,,
1637,무태조야동 더리터 동서변점,더리터 동서변점,,,,,,,,
1638,무태조야동 텐퍼센트커피 대구동서변점,텐퍼센트커피 대구동서변점,,,,,,,,
1639,무태조야동 빽다방 대구북구서변점,빽다방 대구북구서변점,,,,,,,,
1640,무태조야동 드롭탑 대구동서변점,드롭탑 대구동서변점,,,,,,,,
1641,무태조야동 스테이,스테이,,,,,,,,
1642,무태조야동 카페보스,카페보스 동서변점,,,,,,,,
1643,침산2동 달담커피,달담커피,,,,,,,,
1644,칠성동 투썸플레이스 대구삼성크리에이티브캠퍼스점,투썸플레이스 대구삼성크리에이티브캠퍼스점,,,,,,,,
1645,칠성동 단지커피,디초콜릿커피 대구삼성창조경제단지점,,,,,,,,
1646,칠성동 오하브플레르,오하브플레르,,,,,,,,
1647,침산2동 요거프레소 대구삼성창조캠퍼스점,요거프레소 삼성창조캠퍼스점,,,,,,,,
1648,노원동 몬스터커피 비원점,몬스터커피비원점,,,,,,,,
1649,노원동 원대로북카페,원대로북카페협동조합,,,,,,,,
1650,노원동 오니카케이크,오니카케이크,,,,,,,,
1651,상중이동 파스쿠찌 대구신평리네거리점,파스쿠찌 대구신평리네거리점,,,,,,,,
1652,평리1동 투썸플레이스 대구신평리점,투썸플레이스 대구신평리점,,,,,,,,
1653,평리2동 이디야커피 대구서구청점,이디야커피 대구서구청점,,,,,,,,
1654,평리5동 카페봄봄 서구청점,카페봄봄 서구청점,,,,,,,,
1655,평리3동 빽다방 대구서구청점,빽다방 대구서구청점,,,,,,,,
1656,평리2동 공차 대구평리점,공차 대구평리점,,,,,,,,
1657,평리2동 아비앙또,아비앙또,,,,,,,,
1658,평리1동 달달해,달달해,,,,,,,,
1659,평리3동 반짝콩,반짝콩,,,,,,,,
1660,비산6동 커피숲,커피숲,,,,,,,,
1661,내당3동 카페알로,카페알로,,,,,,,,
1662,내당3동 커피크릭,커피크릭,,,,,,,,
1663,내당3동 하이오커피 대구비산점,하이오커피 비산점,,,,,,,,
1664,평리6동 마시그래이 중리점,마시그래이 중리점,,,,,,,,
1665,평리6동 감성커피 대구중리점,감성커피 대구중리점,,,,,,,,
1666,상중이동 커피라니에,커피라니에,,,,,,,,
1667,평리2동 스탠다드테이블,스탠다드테이블,,,,,,,,
1668,평리1동 카페이랑,카페이랑,,,,,,,,
1669,평리5동 카페로니,카페로니,,,,,,,,
1670,평리5동 레프트뱅크 서구청점,레프트뱅크 서구청점,,,,,,,,
1671,평리4동 카페인창고,카페인창고,,,,,,,,
1672,평리6동 설빙 대구서구청점,설빙 대구서구청점,,,,,,,,
1673,평리3동 몬스터커피 서구청점,몬스터커피 서구청점,,,,,,,,
1674,평리4동 더벤티 대구두류이편한점,더벤티 대구두류이편한점,,,,,,,,
1675,내당4동 몬스터커피 감삼역점,몬스터커피 감삼역점,,,,,,,,
1676,내당4동 컬렉팅더모먼츠,컬렉팅 더 모먼츠 감삼,,,,,,,,
1677,두류3동 스무디킹 대구롯데시네마광장점,스무디킹 대구롯데시네마광장점,,,,,,,,
1678,내당4동 다빈치커피 광장롯데시네마점,다빈치커피 광장롯데시네마점,,,,,,,,
1679,두류3동 코페아커피,코페아커피 롯데시네마광장점,,,,,,,,
1680,두류3동 공차 대구광장점,공차 대구광장점,,,,,,,,
1681,내당4동 크로앙쥬 대구두류역점,크로앙쥬 대구두류역점,,,,,,,,
1682,두류3동 매스커피 두류역점,매스커피 두류역점,,,,,,,,
1683,두류3동 카페봄봄 광장점,카페봄봄 광장점,,,,,,,,
1684,내당4동 그란데,카페그란데,,,,,,,,
1685,내당4동 커피타임,커피타임,,,,,,,,
1686,두류3동 오프닝카페,카페오프닝,,,,,,,,
1687,죽전동 더드림커피 서남시장점,더드림커피 서남시장점,,,,,,,,
1688,내당4동 카페봉봉,카페봉봉,,,,,,,,
1689,평리4동 메종드림,메종드림,,,,,,,,
1690,내당1동 엔앨리 디저트카페,엔앨리 디저트카페,,,,,,,,
1691,대신동 하프힐,하프힐,,,,,,,,
1692,대신동 앗다방,앗다방,,,,,,,,
1693,평리2동 구공카페,구공카페,,,,,,,,
1694,비산1동 카페봄봄 비산점,카페봄봄 비산점,,,,,,,,
1695,비산6동 몬스터커피 비산점,몬스터커피 비산점,,,,,,,,
1696,비산6동 이디야 비산점,이디야커피 비산점,,,,,,,,
1697,내당2동 카페유,우주라이크커피 대구비산점,,,,,,,,
1698,평리1동 커피판다,커피판다,,,,,,,,
1699,대신동 마이브라운노트,마이브라운노트,,,,,,,,
1700,내당3동 커피왕 비산세종마트점,커피왕 비산세종마트점,,,,,,,,
1701,내당2동 카페더프리티,카페 더 프리티,,,,,,,,
1702,비산1동 뜻대로카페,뜻대로카페,,,,,,,,
1703,내당2동 트란퀼로,카페 트란퀼로,,,,,,,,
1704,내당2동 아이아이오,iieo,,,,,,,,
1705,내당3동 오커피샵,오커피샵,,,,,,,,
1706,상중이동 카페봄봄 서대구점,카페봄봄 서대구점,,,,,,,,
1707,죽전동 커매진에스프레소,커매진 에스프레소,,,,,,,,
1708,내당4동 아잇쿠키,아잇쿠키,,,,,,,,
1709,내당4동 카페311호,카페311호,,,,,,,,
1710,내당4동 카페로마노,카페 로마노,,,,,,,,
1711,평리5동 마루카페,마루카페,,,,,,,,
1712,평리6동 커피프리,커피프리,,,,,,,,
1713,평리2동 바운드,바운드,,,,,,,,
1714,비산1동 까페로더,까페로더,,,,,,,,
1715,평리5동 카페봄봄 대평리시장점,카페봄봄 대평리시장점,,,,,,,,
1716,원대동 엔제리너스 대구북비산네거리점,엔제리너스 북비산네거리점,,,,,,,,
1717,비산1동 카페비,카페비,,,,,,,,
1718,평리5동 더벤티 서대구IC점,더벤티 서대구IC점,,,,,,,,
1719,비산6동 날뫼카페아이스크림,날뫼카페아이스크림,,,,,,,,
1720,비산6동 그때거기,그때거기,,,,,,,,
1721,평리2동 퀸즈크라운베이커리카페,퀸즈크라운베이커리카페,,,,,,,,
1722,평리5동 바닐라빌리지,바닐라빌리지,,,,,,,,
1723,평리6동 커피콩,커피콩,,,,,,,,
1724,내당1동 디웨이브,디웨이브,,,,,,,,
1725,내당1동 모캄보 대구내당점,모캄보 대구 내당점,,,,,,,,
1726,평리5동 카페봄봄 중평점,카페봄봄 중평점,,,,,,,,
1727,평리4동 올람,올람,,,,,,,,
1728,평리4동 커피정원,커피정원,,,,,,,,
1729,비산1동 레브,카페레브,,,,,,,,
1730,내당1동 카페내당,카페내당,,,,,,,,
1731,관문동 카페우스리,카페 우스리,,,,,,,,
1732,상중이동 써밋,써밋,,,,,,,,
1733,죽전동 하이오커피 대구중리점,하이오커피 대구중리점,,,,,,,,
1734,상중이동 명지현,명지현학술원&카페,,,,,,,,
1735,상중이동 로비로비,로비로비,,,,,,,,
1736,고성동 노프릴스피플,노프릴스피플,,,,,,,,
1737,비산1동 커피타나바,커피타나바,,,,,,,,
1738,"내당1동 카페, 바미","카페, 바미",,,,,,,,
1739,비산6동 카페클리어,카페클리어,,,,,,,,
1740,원대동 마실커피 팔달시장역점,마실커피 팔달시장역점,,,,,,,,
1741,관문동 할리스 대구팔달교DT점,할리스 대구팔달교DT점,,,,,,,,
1742,죽전동 해리스카페 대구의료원점,해리스카페 대구의료원점,,,,,,,,
1743,상중이동 카페051 대구삼익뉴타운점,카페051 대구삼익뉴타운점,,,,,,,,
1744,상중이동 카페인중독 대구내당점,카페인중독 내당점,,,,,,,,
1745,내당1동 요거트월드 서구점,요거트월드 서구점,,,,,,,,
1746,평리2동 카페밤비,카페 밤비,,,,,,,,
1747,상중이동 카페수다,카페수다,,,,,,,,
1748,내당4동 아에이오우커피,아에이오우커피,,,,,,,,
1749,고산3동 설빙 대구시지점,설빙 대구시지점,,,,,,,,
1750,고산3동 달콤커피 대구시지점,달콤커피 대구시지점,,,,,,,,
1751,고산3동 시레나커피,시레나 커피,,,,,,,,
1752,고산3동 마시그래이 시지점,마시그래이 시지점,,,,,,,,
1753,고산3동 빨대,빨대,,,,,,,,
1754,고산3동 바빈스커피 대구매호점,바빈스커피 대구매호점,,,,,,,,
1755,고산3동 슈가레이디,슈가레이디,,,,,,,,
1756,고산1동 텐퍼센트커피 대구신매역점,텐퍼센트커피 대구신매역점,,,,,,,,
1757,고산1동 카페1234,카페1234,,,,,,,,
1758,고산1동 코페아커피,코페아커피,,,,,,,,
1759,고산1동 카페드엘,드엘,,,,,,,,
1760,고산1동 카페리부트,카페 리부트,,,,,,,,
1761,효목2동 나우커피 만촌점,나우커피만촌점,,,,,,,,
1762,만촌3동 더리터 담티역점,더리터 담티역점,,,,,,,,
1763,만촌3동 달동네과자점,달동네과자점,,,,,,,,
1764,만촌3동 카페바스,카페바스,,,,,,,,
1765,만촌3동 야든,야든,,,,,,,,
1766,만촌2동 레제드라마,레제드라마,,,,,,,,
1767,만촌3동 골목커피,골목커피크레페,,,,,,,,
1768,만촌2동 커널스커피,커널스커피,,,,,,,,
1769,만촌3동 론론,론론,,,,,,,,
1770,만촌1동 가가라커피,가가라커피,,,,,,,,
1771,범어3동 신천커피,신천커피,,,,,,,,
1772,범어2동 핸즈커피 범어점,핸즈커피 범어점,,,,,,,,
1773,범어2동 사랑채 범어점,사랑채 범어점,,,,,,,,
1774,만촌1동 스위티앤스윗쿤,스위티앤스윗쿤,,,,,,,,
1775,고산2동 토리커피,토리커피,,,,,,,,
1776,고산2동 다온,다온,,,,,,,,
1777,고산2동 웜톤커피,웜톤커피,,,,,,,,
1778,고산2동 카페꽃이피다 시지점,카페 꽃이피다 시지점,,,,,,,,
1779,고산2동 디오디커피,디오디커피,,,,,,,,
1780,고산2동 뜨락,뜨락,,,,,,,,
1781,고산2동 플라림비,플라림비,,,,,,,,
1782,수성2가동 카페드크래프트,카페드크래프트,,,,,,,,
1783,수성4가동 공차 대구수성점,공차 대구수성점,,,,,,,,
1784,범어1동 카페봄봄 대구범어역점,카페봄봄 범어역점,,,,,,,,
1785,수성4가동 세라젬웰카페 대구수성직영점,세라젬 웰카페 대구수성직영점,,,,,,,,
1786,범어2동 드롭탑 대구두산위브더제니스점,드롭탑 두산위브더제니스점,,,,,,,,
1787,범어2동 텐퍼센트커피 대구범어도서관점,텐퍼센트커피 대구범어도서관점,,,,,,,,
